Allowed Value to Be Mapped,Allowed Value as Sent to Channel
Moving strap,36400
Cable tie gun,24486
Bucket & wringer,29498
Flexi tub,32477
Mixing bucket,29500
Mop bucket,29497
Plasterer's mixing bucket,29496
Tub,24495
Tarmac rake,24493
Pointing trowel & brick jointer set,34024
Pointing trowel set,33979
Line block,33827
Slab cutting guide,8005
Brick jointer,8013
Pointing trowel,8012
Trowel & brick jointer,33828
Tuck pointing trowel,31908
Laser plumb line,29404
Plumb bob,34411
Plumb bob & line set,8006
Mortar rake,8007
Line & pins,29403
Line pins,8008
Gauging trowel,8014
Chalk,24465
Chalk line,8015
Chalk line reel,12033
Chalk & line set,11776
Brick trowel,24467
Bricklaying trowel,35077
Brick trowel set,24468
Bricklaying trowel set,35076
Brick tongs,8009
Brick line & pins set,8010
Brick line,8011
Paint sprayer attachment,32584
Paint sprayer reservoir,32618
HVLP extension handle,33103
Spray gun extension,32666
Spray gun tip,25475
Spray gun filter,25467
Water filter,22284
Welding blanket,36467
Desoldering pump,34922
Welding kits with trolley,34881
Welding arm,34880
Welding & cutting set,34879
Welding extractor tool,34722
Welding adaptor,34721
Welding tips cleaner,34718
Welding socket connector,34289
Welding cable,34288
Welding cable connector,34287
Welding back cap,34286
Spool adaptor,34278
Electrode handle,34264
Anti-spatter paste,34302
Anti-spatter welding spray,34248
Welding protection chemical,34303
Zinc spray,34295
Welding conversion kit,33699
Welding wire,27075
Welding rod,27073
Welding nozzle,27072
Welding tip,32988
Alkaline electrode,34494
Welding electrode,27071
Angle magnet,27066
Die springs,34923
Revolving centre,34876
Scroll saw blade,30602
Workstation extension,26967
Tool holding press stand,25223
Spiral cutting bit,17078
Spiral saw bit,25222
Scroll saw blade set,25221
Machine cover,25218
Lathe chuck set,25217
Grinding stone grader,25216
Dust extractor filter,25215
Dust extractor collection bag,25214
Dust extractor accessory set,25213
Dust collection bag,25212
Benchtop grinder jig,25211
Benchtop grinder honing wheel,25210
Benchtop grinder grinding wheel,25209
Bench grinder polish,25208
Bandsaw blade,25207
Pressure switch,34274
Fuel tank cap,34267
Oil plug,34299
Air tool cleaning product,34247
Spray gun cleaning kit,25256
Air tyre inflator,25318
Air tool kit,25317
Air tool filter,25316
Air tool lubricator,25321
Air tool adaptor,25315
Air tool coupler,25320
Coupling socket,30165
PCL connector,30176
Universal quick release connector,30180
Universal quick release coupler,30182
Air spray gun,25255
Air sander kit,30164
Air sanders,26749
Air reciprocating saws,26748
Air ratchet,26747
Air ratchet kit,30163
Air metal cutter,26746
Air impact wrench,25254
Air hose,18809
Air hose reel,31027
Air chisel,25319
Air hammer,25314
Air grease gun,25313
Air drill,25312
Air die grinder,25253
Air cut off tool,25311
Air blow gun,18821
Bristle cup brush,16984
Bristle wheel brush,16983
Cup brush,16986
Detail brush,17087
Multi-tool wire brush,25328
Drill bit sharpener,33679
Multi-tool sharpening stone,25327
Attachment tool,34485
Mini saw attachment,16973
Multi-tool saw attachment,25326
Multi-tool sanding plate,25310
Sanding plate,29252
Cutting disc set,9105
Cutting set,16976
Multi tool blade,25307
Multi-tool kit,25309
Multi-tool guide,25308
Shaping platform,34637
Plunge blade,16961
Shear blade,35631
Chainsaw sharpener,27326
Multi-tool adaptor,25306
Right angle attachment,16971
Dust-free drilling attachment,34366
Drain valve,34262
Dust suppression water tank,32980
Grinding stone,17075
Grinding stone bit,30600
Fan brush,32784
Pencil brush,32781
Preparation brush,25281
Preparation wheel,30162
Wire cup brush,32778
Wire pencil brush,32785
Wire wheel,32786
Preparation brush set,25279
Twist knotted cup brush,30175
Impregnated polishing wheel,17081
Polisher,25282
Polishing bonnet,30174
Polishing disc,32663
Polishing point,17086
Polishing sponge,30179
Polishing wheel,17072
Cleaning & polishing set,34456
Polisher set,25280
Polishing bonnet set,32667
Polishing kit,31445
Polishing sponge set,32662
Sanding & polishing kit,30161
Grease,25276
Abrasive brush,30160
Detail abrasive brush,17089
Flap wheel,25274
Grinding wheel,18502
Flap disc,25275
Tile drill guide,25273
Diamond wheel point,16980
Drill bit,5513
Grout removal bit,17079
Holesaw,18797
Tile & glass drill bit,16926
Tile drill bit,16925
Tile & glass drill bit set,31484
Tile drill bit set,25272
Screwdriver bit,16966
Impact bit set,31483
Screwdriver bits,28044
Angle screw adaptor,31345
Angled bit holder,17063
Flexi bit holder,17070
Off-set angle adaptor,31344
Screw guide,17059
Screwdriver bit holder,24109
Torque setting adaptor,31343
Drill bit holder,35786
Drill bit extender,33302
Drill & screwdriver bit,31953
Drill bit set,25332
Drill bits,12166
Countersink & pilot drill set,25333
Drill bit & countersink,18506
Countersink set,28043
Pilot drill set,28061
Mixing paddle,32661
Paddle mixer,30930
Paddle mixer attachments,25230
Paddle mixer adaptor,25231
Chisel & drill bit set,32148
Breaker point chisel,17051
Point chisel,17053
Breaker flat chisel,17050
Crank chisel,17054
Flat chisel,17052
Spade chisel,30172
Drill chisel set,25233
Sanding roll set,24403
Sanding sleeve,25351
Sanding sleeve set,24407
1/2 sanding sheet,32775
1/3 sanding sheet,32772
1/4 sanding sheet,32777
Corner sanding triangle set,30181
Delta sanding triangle set,30184
Orbital sanding sheet set,30185
Sanding sheet,24406
Sanding sheet set,24405
1/2 sanding sheet set,32771
1/3 sanding sheet set,30159
1/4 sanding sheet set,30171
Abrasive mesh,34621
Corner sanding sheet set,30178
Delta sanding sheet set,30183
Abrasive cylinder roller,34319
Sanding band,17073
Sanding roll,24404
Sanding mandrel & sanding band,17094
Sanding machine frame,24402
Drill sanding plate backing pad,31444
Grinder sanding plate backing pad,33399
Sanding machine backing pad,24401
Abrasive,34318
Mesh sanding disc,34323
Sanding disc,17093
Sanding disc set,24400
Sanding disc & belt set,24399
Sanding belt,24398
Sanding belt set,25347
Sanding belt cleaner,24396
Drill sanding set,24395
Sanding band & mandrel,30170
Sanding wheel,30177
Abrasive buff,30158
Drill sander,25352
Reciprocating saw blade,16965
Reciprocating saw blade set,25331
Nibbler accessory kit,34272
Engraving tip,16988
Rasp bit,30601
Shank cutter,34495
Grinding stone bits set,30598
Rasp bits set,30599
Router collet,22663
Cone drill bit,25371
Step drill bit,30157
Cone drill bit set,30330
Cone drill bits,28060
Step drill bits,16907
Plug cutter,18507
Plug cutter & countersink,16908
Plug cutter & countersink set,30329
Plug cutter set,25361
Screwdigger set,25362
Nut driver,17049
Nut driver set,30328
Nut drivers,25356
Grinding disc,16939
Grinding disc set,9106
Double grinding cup,30156
Grinding cup,9107
Abrasive cutting wheel,17090
Cut-off wheel,17074
Cutting & grinding disc set,30155
Cutting disc,16936
Cutting wheel,18500
Diamond abrasive wheel,17092
Diamond cutting wheel,18501
Cut-off wheel set,30169
EBS cutter,25278
EBS cutter set,25277
Drill adaptor,35335
Drill hole depth indicator,35255
Drill hole depth indicator set,35254
Hole marking pen,35253
Hole marking tool,35252
Drill stand,34367
Extractor set,25355
Screw extractor,16909
Drive shaft,25354
Flexible shaft,16982
Crown stop,32979
Length stop,33684
Mitre saw stand,27035
Circular saw guide rail,31025
Circular saw rail,25292
Plunge saw guide rail,31026
Circular saw guide rail bag,31024
Plunge saw guide rail bag,31023
Mortar raking bit,25289
Diamond blade,31443
Segmented diamond blade,25288
Continuous rim diamond blade,25286
Continuous rim diamond cutting disc,30154
Diamond tile blade,31482
Circular saw blade set,25284
Mini saw blade set,33889
Rebate cutter set,30327
Disc bore reduction ring,25287
Reduction ring,13557
Circular saw guide,25293
Circular saw clamp,25285
Flat wood bit,24383
Self-feed drill bit,24391
Self-feed drill bits,25382
Self-centring hinge drill bit,27690
Hinge drill bits,25381
Hinge drill set,31441
Multi-angle drill bit,24389
Multi-angle drill bits,25380
Mortice chisel drill bit,24387
Mortice chisel drill bits,25379
Hinge cutter,31442
Hinge cutter bit,24386
Hinge cutter bit set,30326
Hinge cutter bits,25378
Forstner bit,25377
Forstner bits,25376
Wood drill bit,17037
Flat drill bit set,30325
Flat wood drill bit,16913
Brad point,25374
Brad point drill bit,31440
Brad points,24379
Auger drill bit,16912
Auger drill bits,25373
Abrasive jigsaw blade,25353
Jigsaw blade,16987
Abrasive jigsaw blades,25225
Router base,32987
Woodworking jig,22674
Woodworking jig accessory,22667
Worktop jig peg,33840
Core box router cutter,32774
Engraving cutter,17085
High speed cutter,17084
Laminate cut router cutter,32783
Rounded cutter,34455
Router bit,17076
Router cutter,32769
Straight router cutter,22665
Tongue joining router cutter,32780
Trimming edge router cutter,32770
Chamfer cutter,24329
Chamfer router cutter,32779
Cove box router cutter,32782
Rebatting router cutter,32776
Rounding over cutter,24069
Shaped router cutter,25197
Trim router cutter,32773
Routing chisel,22664
Collets set,30324
Kitchen fitters router set,30153
Router bit set,30168
Router cutter set,25198
Jointing biscuit,17058
Guide bush,22661
Depth gauge,22662
Biscuit jointing blade,22666
Biscuit jointing bit set,22669
Biscuit jointing kit,24324
Adjustable holesaw,24059
Hole cutter,30323
Holesaw with centre bit,30333
Holesaw set,24067
Cover plate,21137
Board cutter,22668
Arbor,22658
Arbor set,35517
Core drill arbor,24062
Diamond core drill arbor,31437
Diamond core SDS plus arbor,22660
Holesaw arbor,22657
Holesaw pilot drill bit,33667
Pilot drill bit,33666
Pilot drill bit & countersink,17041
Powerchange holesaw arbor,22655
Powerchange pilot drill bit,33668
SDS Arbor,31439
Core drill,22649
Core drill bit,31481
Core drill set,22648
Chuck key,17067
Triangle key,30322
Universal angle grinder key,30332
Chuck,22651
Chuck & adaptor,30152
Chuck adapter,31438
Seat belt,36119
Dog car guard,36054
Fish tank,36093
Terrarium,36100
Heat bulb,36092
Artificial aquarium plant,36090
Honey extractor kit,36059
Hive frame,36058
Beekeeping brush,36034
Bee hive,36033
Bandana,36131
Scarf,36118
Coat,36130
Horse rug,36066
Tie out stake,36123
Tie out cable,36122
Extender,33243
Bird cage,36042
Nesting material with dispenser,35963
Cat igloo,34343
Dog bed,34345
Chicken coop cleaner granules,36047
Chicken coop cleaner powder,36074
Excrement scoop,36030
Litter tray,35891
Shampoo,35890
Cat Litter,35889
Scratching post with bed,36071
Scratching post,36070
Cat tunnel,36046
Nursing bottle set,36114
Animal water fountain,36080
Treat bag,36079
Feeding stations,27435
Bird bath,31741
Bird dining station,32094
Bird feeding station,32492
Bird table,31696
Bird tables & baths,27434
All seasons energy balls,31671
All seasons energy bites,31670
All seasons seed mix,31665
All seasons suet cake,31672
Black sunflower seed,36455
Coconut shell treat,31658
Crumble mix,33826
Energy balls,33849
High energy peanuts,31743
Insect mix,31666
Mealworms,32484
Nuggets,31668
Nurturing peanut boost,31669
Nyjer seeds,31651
Peanuts,33844
Seed mix,31673
Suet balls,31674
Suet cake,32506
Suet pellets,32504
Sunflower hearts,31767
Wild bird feed,31698
Wildlife feed,27437
Headlamp beam converters,28789
Engine timing kit,34884
Workshop seat,29083
Appliance mat,35276
Workshop mat,29082
Workshop engine stand,29072
Sand blaster cabinet,29063
Parts washer,29081
Hoist,32965
Car roof bar,36627
Van roof bar,29071
Van roof bar load stop,29070
Roof box,29067
Car roller sunshade,36179
Vehicle roller sunshade,36207
Car window lever,36185
Vehicle window lever,36212
Car boot liner,36171
Car play tray,36283
Travel play tray,36287
Sun shade,36295
Vehicle battery isolator,35787
Vehicle wiper blade,29123
Vehicle sign,29122
Spare bulb,32385
Spare bulb kit,28798
Vehicle hazard light,29119
Breakdown kit,33612
Travel kit,29116
Steering wheel lock,29115
T bar steering wheel lock,34579
Upholstery removal tool kit,34371
Upholstery removal tool,34370
Car dressing,32963
Car polish,33122
Car shampoo,31891
Car shampoo 3in1,30467
Car wax,32383
Care balm,33242
Cleaner & conditioner,33538
Cleaner & protector,33541
Colour restorer,33537
Detailer,33544
Detailer spray,33539
Interior care,33120
Interior cleaner,33121
Paint renovator,33543
Paintwork restorer,33542
Polish,25699
Polish & gloss,33540
Remover,31537
Resin polish,33123
Restorer,31536
Shampoo sticks,33392
Tyre dressing,32970
Wash & wax,32375
Demist pad,28585
Sponge,28583
Flexi blade,29016
Chamois,28546
Cloth,28548
Wash mitt,28591
Tyre valve cap,36294
Tyre valve extender,36293
Wheel stud,36292
Tyre inflator valve adaptor,35714
Foot pump,29057
Vehicle winch,31796
Trailer ladder rack,29095
Trailer jockey wheel,29094
Trailer board,29091
Tow bar,29125
Tow bar & damper,32960
Brake spring washer tool,36434
Valve spring compressor,36433
Clutch wrench,36162
Clutch alignment tool,36160
Clutch alignment kit,36159
Clutch alignment tool set,36158
Manifold gauge set,36157
Fuel line disconnect tool,36156
Pliers,23994
Tyre lever,28966
Stud extractors kit,28965
Spring compressor kit,28964
Drain plug key set,24523
Brake rewind caliper tool,28953
Fuel can,29087
Oil can,29088
Dent suction puller,36145
Automotive scratch repair,36290
Glass mat,35991
Dent puller kit,32372
Trim & upholstery removal kit,32381
Plastic repair system,28977
Anti-freeze & coolant,31804
2-stroke engine oil,32973
Car starting aid,32967
Engine oil,31786
Oil lubricant,32971
Oil supplement,32972
Oil treatment,31802
Brake fluid,31780
Cambuckle strap,36401
Endless Ratchet,36402
Endless ratchet strap & cambuckle,36251
Ratchet strap,28992
Ratchet strap & lashing,28994
Ratchet tie down,31890
Ratchet tie-down with e-track,36403
Sat nav,36496
Car cradle,33613
In-vehicle device holder,28984
Dash cam,28983
Jump start with USB output,29107
Jump lead,29108
Rear bike carrier,28980
Document cabinet,32909
Non-fire-rated document cabinet,29144
Airbed,33916
Sleeping bag,33922
Zip line kit,36418
Swing tent,36417
Swing bracket,36416
Climbing net,36408
Bubble solution,36407
Hover ball,36268
Basketball hoop,36265
Close control trainer,34110
Obstacle course set,36272
Climbing frame with slide & swing,36271
Climbing frame with slide,36269
Climbing frame,35637
Swingball,34521
Racquet set,32064
Tennis set,32062
Snow scooter,34016
Skittles,35843
Seesaw,35638
4 in a row game,32068
7-in-1 Sports set,35837
Beanbag golf & bowling set,35204
Sports day kit,35844
Flying disc,35008
Flying ring,36716
Frisbee,32055
Dart gun,36267
Croquet set,35846
Playground floor slab,36244
Playground floor tile,36240
Inflatable lilo,34607
Inflatable pool ring,32669
Inflatable rider,32727
Inflatable drink cooler,36232
Inflatable armband,36239
Climbing wall,36238
Play tent,35094
Indoor play equipment set,35104
Play kitchen,34614
Hand pump,34080
Playmat,27576
Safety mat,17221
Activity set,33998
Play centre,32029
Play equipment set,27575
Playhouse with swing & slide,36280
Slide,13529
Swing & glide set,31664
"Swing, slide & glide set",35407
Activity table,27571
Sand & picnic table,31722
Sand & water picnic table,31757
2 in 1 swing set,31720
Baby swing,31756
Double swing set,31646
Growing swing set,31656
Saddle monkey disc swing,17216
Swing,13507
Swing bench,12701
Swing seat,17215
Swing set,12798
Trapeze swing,31667
Sand pit & pool,36436
Swimming pool hibernation plug,35927
Swimming pool salt steriliser,35821
Swimming pool & spa water treatment with diffuser,35820
Swimming pool skimmer basket,35826
Swimming pool polysphere filter ball,35818
Pond vacuum basket,35817
Pond vacuum,32710
Swimming pool vacuum cleaners,35812
Swimming pool diving board,35384
Bubble cover,35420
Pool cover,12899
Summer cover,35421
Swimming pool cover,35383
Winter cover,35422
Sauna headrest,35378
Sauna bucket,35377
Sauna bucket & spoon set,35376
Liner repair kit,34686
Swimming pool hose,34645
Sauna,33701
Entertainment station,33823
Spa radio,33696
Robotic pool cleaner,33479
Surface skimmer,33478
Swim spa,32109
Hot tub chemical starter kit,34942
Hot tub maintenance,27552
Measuring jug kit,33339
Spa health check,32026
Spa maintenance kit,33629
Spa placement & wet start,32053
Shade sail bracket,36570
Patio cover,34090
Barbecue servery,35801
Mini bar,35800
Hammock fittings kit,34999
Hammock frame,34998
Drink trolley,31655
Patio cover roof blind,34091
Patio cover side wall,34089
Framed hammock,29820
Storage bench,35777
Balcony parasol,13462
Cantilever parasol,34122
Overhanging parasol,13460
Parasol,35875
Standing parasol,13461
Hammock,12359
Outdoor kitchen cabinet unit with sink,36554
Grillstone,36552
Grill cleaning brush head,36551
Barbecue lid holder,32989
Grill tongs,30660
Barbecue pizza oven,35547
Outdoor kitchen drawer unit,35353
Outdoor kitchen base unit,35351
Smoker box,34336
Barbecue replacement gasket kit,32560
Masonry barbecue,12546
Barbecue grate,27582
Barbecue griddle,27581
Barbecue grill,13512
Barbecue grill expander,32483
Fish grill,33329
Multi-cooking set,36743
Plancha,6752
Hybrid barbecue,32052
Charcoal barbecue starter,27442
Fencing clip,29172
Gravel board clip,32427
Trellis clip,33634
Fence joiner,29171
Electric fencing handle,29164
Grow table,34063
Gardening tray lid,34062
Propagator cover,32121
Macreme pot hanger,34044
Pot hanger,34048
Trough hanger,34049
Wall rack,34047
Growing bag,34046
Gardening tray,35630
Pot & tray,32490
Tray lid,32425
Propagator refill,32106
Pot mover,27645
Pot feet,27646
Pot stand,32956
Balcony plant pot,34029
Downpipe plant pot,33341
Grow pot,32105
Hanging pot,13448
Plant pot,27647
Railing plant pot,33315
Trio plant pot,33356
Wall plant pot,34030
Hanging basket,27649
Hanging basket bracket,34045
Hanging pot holder,33414
Unplanted living wall kit,36501
Grass seeds,35796
Lawn seeds,35873
Living picture,33626
Artificial grass glue,35775
Artificial grass cleaner,35457
Berry fruit plant,33213
Citrus fruit plant,33216
Core fruit plant,33215
Fruit plant,35876
Stone fruit plant,33214
Bedding plant,33110
Flowering plant,35886
Basil,17290
Bay,17291
Chive,24052
Coriander,17294
Curry,17295
Dill,17296
Fennel,17297
Helichrysum,34468
Lavender,17299
Lemon balm,17300
Lemongrass,24056
Mint,17303
Mix herb plant,17298
Oregano,17304
Rosemary,17306
Sage,17307
Stevia,17308
Tarragon,36616
Thyme,17309
Vegetable bulb,27619
Arborvitae,35233
Aucuba,17363
Azalea,17352
Bamboo,27633
Barberry,35206
Bell,35207
Boxwood,35224
Broom,21312
Buddleia,27630
Buxus,17353
Callicarpa,35236
Calluna,35231
Camellia,17364
Ceanothus,17366
Chamaerops,17396
Cherry,17245
Choisya,17367
Clematis,17368
Conifer,12091
Cordillera,35208
Cordyline,17369
Cotinus,35235
Cypress,27632
Elderberry,35209
Erica,35223
Euonymus,17371
Forsythia,27631
Fuchsia,17357
Gagwine,35210
Gaultheria,35237
Ginkgo,35211
Grass,17376
Hawthorn,35212
Heather,17358
Hebe,17359
Heuchera,17378
Hibiscus,18369
Holly,35213
Honeysuckle,18371
Hydrangea,17380
Iris,35214
Ivy,35215
Jasmine,17381
Kalina,35225
Ketmia,35232
Kordylina,35216
Laurel,27635
Magnolia,18373
Maple,35234
Nandina,35239
Nawrot,35217
Nerium,35240
Orchid,35218
Pcherchaeus,35219
Peony,18387
Pernettya,35238
Photinia,17384
Pieris,18375
Pieris japonica,35220
Prunus,17387
Pyracantha,18377
Ravenshade,35226
Ravenshaw,35221
Red robin,27634
Rhododendron,18378
Rose,7345
Rose root wrap,17395
Shrub,29731
Skimmia,18380
Sundaville,35230
Tamarisk,35228
Thuja,35271
Viviparous,35227
Willow,35229
Wisteria,18381
Woodruff,35222
Festive planter,33643
Planted pot,35789
Acer,27629
Bay tree,27628
Deciduous tree,35362
Lilac,18384
Ornamental tree,27617
Lawn conditioner,31774
Lawn feed,32515
"Lawn feed, moss & weed killer",31654
Lawn fertiliser,29706
Lawn patch repairer,27627
Lawn repair,27615
Lawn seed,33624
Lawn thickener,29707
Lawn treatment,22155
Moss treatment,31752
Organic lawn fertiliser,33338
Pre lawn seed & turf fertiliser,31717
Spot repair,35005
Hanging plant,33623
House plant,27614
Berry fruit tree,33217
Citrus fruit tree,33220
Core fruit tree,33219
Olive tree,31716
Stone fruit tree,33218
Tree,13107
Artificial grass,11902
Plant support,7813
Vine tying tool,35774
Plant support with watering system,35773
Trellising kit,35772
Plant support end cap,35771
Plant clip,35770
Plant pot roller,34102
Landscaping fabric,31031
Root barrier fabric,17238
Weed control fabric,17237
Hoop plant tie,33351
Plant tie,32985
Plant container liner,29714
Fixing spike,13487
Garden stake,12309
Stake,13456
Tree pole,31072
Cane,35860
Plant stick,29908
Poles & sticks,27520
Plant support connector,35888
Plant cloche support,35887
Plant support frame,31714
Plant labels,12771
Obelisk,27516
Obelisk support trellis,32101
Cover net,27522
Garden mesh & netting,35511
Greenhouse shading,33683
Netting,27515
Netting roll,27523
Plant netting,35513
Cloche,34060
Grow tunnel,31713
Grow tunnel cover,31751
Grow tunnels,27514
Polytunnel,32100
Plant cover,32982
Weed killer,18443
Weed preventer,32913
Pesticide candle,34094
Fungicide,32493
Moss killer,32507
Tree stump killer,34019
Soil pH testing kit,35955
Root trainer tube,34660
Hydroleca,34467
Rooting powder,34466
Moisture retaining gel,30756
Water storage gel,34105
Rooting gel,27510
Fertiliser,22374
Plant feed,29927
Chicken manure,33387
Garden fertiliser,18362
Organic fertiliser,22593
Patch repairer,22598
Plant feed & fertiliser,33386
Universal plant food,18411
Drip feeder,29925
Elixir,32431
Lawn food & moss control,34022
Leaf shiner,29926
Mosskill,35004
Plant fertiliser,18460
Plant invigorator,18446
Plant treatment,35885
Seal & heal,35002
Soluble plant feed,29705
Spray & feed,35003
Beneficial funghi,36397
Biohumus,11952
Bone meal,33336
Compost maker,29703
Fertiliser & moss killer,34658
Granular plant feed,29701
Lawn sand,36399
Lime fertilizer,34644
Manure,31814
Pellet plant feed,29702
Plant defence booster,36395
Seaweed,18365
Seaweed plant booster,36398
Soil bacteria,36396
Substrate,35878
Universal biohumus,18359
Weed burner,32514
Railway sleeper,13535
Sleeper,26520
Border edging,11968
Log edging,33314
Log roll,17229
Lollypop edge roll,17230
Pond liner,30829
Gabion kit,12302
Edging roll,13485
Horizontal log edging,13489
Lawn edging,13484
Vertical log edging,13488
Perlite,32419
Vermiculite,32420
Bagged moss,27443
Compost,12075
Compost additive,32091
Expanded hydroleca,32421
Growing plug,34026
Horse manure,32124
Horticultural grit,33067
Lawn dressing,31817
Moss,32418
Peat free top soil,32128
Soil,33086
Soil conditioner,31815
Soil improver,29693
Top soil,31816
Bark chippings,32538
Conifer bark chippings,34459
Mulch,32539
Woodchip mulch,32540
Woodchips,33087
Sports ball cage,35315
Greenhouse combi shed,35243
Garage,11725
Cabin,27672
Garden bar,34486
Garden office,34307
Garden room,35129
Pavilion,33630
Summer house,27667
Sun room,32715
Workshop,12980
Potting shed,34995
Shed,12529
Outbuilding floor,27671
Greenhouse base,32104
Interlocking shed base,33964
Outbuilding base,27670
Shed base,12530
Bar & garden store,32424
Bin storage,32122
Cushion box,33340
Garden storage,27669
Garden storage bench box,32423
Garden storage box,29824
Tool storage,32112
Bike storage,27665
Bike store,11950
Motorbike store,32120
Animal house,27666
Animal house & run,35051
Aviary,32110
Hutch,35052
Hutch & run,35053
Kennel,35050
Kennel & run,35054
Greenhouse fixing fit,35672
Greenhouse louvre,33689
Growhouse,27653
Greenhouse,27654
Lean to greenhouse,34996
Greenhouse window opener,27566
Greenhouse window vent,32485
Greenhouse shelving,32103
Greenhouse staging,27567
Greenhouse workbench,32119
Green house cover,27568
Coldframe,27570
Temporary mesh,13402
Triple torsion mesh,5608
Wire mesh roll,36461
Trellis,21682
Trellis panel,36393
Decorative fence ornament,35184
Sliding gate wheel,35191
Fence slat,13216
Blackout slat kit,33412
Capping rail,21821
Fence cap,35490
Fencing top cap,21695
Trellis capping,32569
Fence spacer,31950
Barbed wire,13404
Agricultural fencing tool kit,29167
Agricultural fencing post,29168
Fence post,13214
Gabion panel,17554
Wire mesh panel,12958
Railings,27500
Top railings,27501
Top rails,27502
Post cap,21817
Picket fence,13284
Picket fence board,31712
Automatic gate,36684
Double swing gate,36687
Driveway gate,12172
Fence gate,29907
Foldable gate,36688
Garden gate,27495
Gate,13245
Palisade gate,29912
Panel gate,36686
Sectional gate,31773
Side entry gate,12545
Sliding gate,36685
Wire gate,31750
Artificial hedge screen,13408
Double-face garden screen,31749
Garden screen,12304
Garden screening,27494
Terrace blind,17570
Garden wire,27493
Link wire,13416
Tension wire,13418
Gate & fence post,31711
Gate post,27490
Notched fence post,13455
Palisade post,27492
Reinforcing post,13459
Repair spur,27491
Scantling,35936
Wire fencing post,12960
Bolt down post support,27486
Concrete-in post support,27487
Fence panel wall support,32428
Post base,12878
Post extender,27488
Post spike,27485
Post support,32098
Post wall starting support,27489
Reinforcement post,13458
Wall starting base,13433
1/2 Fence panel,32429
1/4 Fence panel,32430
Decorative fence panel,27482
Fence panel,18432
Palisade,13280
Arris rail bracket,27478
Breeze fixing clip,31653
Fence bracket,27480
Fence clip,27479
Fence connector,27481
Fence fixing,32426
Fence post starting collar,33313
Fence staple,33355
Fixing link,13428
Garden screen link,30922
Garden trellis & screening,35521
Ground spin,33621
L bracket,31660
L-Connector,31662
T connector,12991
Tension stick,5820
Trellis fixing kit,33804
Wedges,11750
Arris rail,27474
Fence board,31710
Fence rail,27475
Gravel board,27476
Pergola & decking kit,36456
Seating,36453
Lean to shed kit,35246
Lean to shed roof,35244
Gazebo roof,34627
Gazebo curtain,34033
Gazebo netting,34092
Roof curtain,32975
Side curtain,30759
Gazebo,21228
Shade sail,22602
Carport,11723
Building base,29214
Potting bench,12931
Garden pergola,31772
Patio pergola,31748
Pergola,10703
Pergola beam,31709
Canopy,21227
Pagoda,27548
Flip roof log store,31747
Triangular log store,31771
Wall log store,31708
Roof & side curtain,32977
Arch,11899
Arbour,11898
Corner arbour,31707
Robotic house,36502
Lawnmower handle nut & bolt set,35653
Ride-on lawnmower,27509
Blade cover,34706
Lawn roller spike,18397
Engine starter kit,12208
Lawnmower start up kit,32615
Starter handle & rope,12700
Anti-theft & tracking module,32070
Boundary creation accessory kit,32108
Boundary creation module,32071
Obstacle avoidance module,32032
Robotic lawnmower module,30680
Voice control module,32056
Boundary wire,31466
Spark plug,12633
Lawn rider,32498
Ride-on lawn tractor,33095
Ride-on mulching lawnmower,27508
Mulching plug,27506
Lawnmower blade,12395
Air filter,33868
Fuel cap,12287
Water butt filter,36631
Irrigation wicks,35797
Water indicator,35598
Sprayer pump,35597
Sprayer repair kit,35596
Pump sprayer & trigger sprayer set,35595
Pressure sprayer,27560
Pressure washer adaptors & nozzles set,35594
Garden tap plumbing kit,35593
Hose spray gun,35592
Fire hose,35591
Hose pipe extension,35590
Watering can water broom,35589
Watering gel,35588
Irrigation system nozzle,35587
Hose nozzle starter set,33938
Hose sprayer attachment kit,35586
Water butt connector,36632
Water butt pairing kit,35585
Water butt hose,35584
Water butt drain plug,35583
Irrigation watering bag,35580
Hose reel bracket,35579
Hose pipe & cart set,35578
Irrigation system connector kit,35608
Irrigation system meter,35607
Irrigation system valve box,35606
Nozzles adjustment key,35605
Aquastop connector,22150
Brass hose connector,22147
Hose pipe adaptor,35883
Irrigation system pressure switch,35738
Irrigation tape,35744
Feeder unit,35150
Watering ball,34497
Watering spike,34498
Backpack pressure sprayer,29797
Hose guide,33408
Hose hanger,31762
Hose pipe set,31761
Seal repair kit,13495
Pressure regulator,12904
Hammer arrester,26306
Nipple,35599
End plug,32704
Rain sensor,32713
Sensor,18495
Riser,31321
Dripper,31904
Micro-sprinkler,32505
Oscillating sprinkler,32486
Pulse sprinkler,34471
Rotary sprinkler,34472
Shrubbler,32729
Sprinkler,8869
Static sprinkler,34473
Swinging sprinkler,34474
Stop end,26346
Coupling,32703
Solenoid valve box,33967
Irrigation kit,29212
Underground irrigation starter kit,30753
Irrigation controller,29211
Water meter counter,33939
Watering timer,12939
Watering indicator,34027
Watering kit,27557
Watering can,12925
Watering can & sprayer,31729
Watering can rose,22205
Rainwater harvesting system,31728
Water butt,12854
Water butt stand,27559
Backpack sprayer,11907
Foam trigger sprayer,33810
Trigger sprayer,13115
Handheld pressure sprayer,29790
Handheld trigger sprayers,29791
Outdoor tap,27561
Hose nozzle,32706
Spray handle,32714
Spray lance,22250
Spray nozzle,22631
Hose pipe,27558
Underground hose pipe,29911
Empty hose cart,33942
Empty hose reel,33937
Hose box,31727
Hose cart & reel,32497
